bug_id,title,area,module_or_endpoint,severity,priority,source_test_case_ids,preconditions,steps_to_reproduce,actual_result,expected_result,evidence,notes
PAY-BUG-001,"Add Employee modal does not show validation or error feedback for invalid input",UI,Add Employee modal,Critical,High,"UI-F-012; UI-F-013; UI-F-017","User is logged in and on the dashboard.","Open Add Employee, enter invalid or incomplete data, and click Save.","Nothing clear is shown in the UI. In some cases the modal just sits there, and in others the save fails without telling the user what went wrong.","The form should block the save and show a clear validation or error message in the modal.","Cucumber failures expect a visible error message but get none. This is also consistent with the manual findings.","Merged from the missing-validation and missing-error-message findings because they point to the same user problem."
PAY-BUG-002,"Dependants field accepts invalid values and may save the wrong value",UI,Add Employee modal,Critical,High,"UI-F-012","User is logged in and on the dashboard.","Open Add Employee, enter invalid dependants values like decimals, mixed text and numbers, or other invalid formats, then save.","The field is handled inconsistently. Some invalid entries are accepted, and the saved record may end up with a different dependants value than what was typed.","Dependants should only accept valid whole numbers in range and should reject everything else before saving.","UI-F-012 shows invalid cases being persisted. The report includes examples where decimal input ended up saved as 1 and mixed input ended up saved as 12.","This is specifically an Add flow issue. The Edit flow for invalid dependants is currently passing."
PAY-BUG-003,"Name fields accept numeric or mixed values and still save",UI/API,"Add Employee modal; POST /api/Employees",Critical,High,"UI-F-020; API-F-015","User is on the dashboard or has valid API auth.","Try creating an employee with values like 12345, Ana123, or Lopez123 in the name fields.","The invalid values are accepted and persisted.","The system should reject invalid name formats and return clear validation feedback.","Automation captured successful saves for invalid names in both UI and API coverage.","This was confirmed in both layers, so it is stronger than a UI-only finding."
PAY-BUG-004,"First Name and Last Name columns are reversed in the dashboard",UI,Employee table,High,High,"UI-F-011","At least one employee exists with clearly different first and last names.","Load the dashboard and compare the displayed values under First Name and Last Name.","The Last Name column shows the first name, and the First Name column shows the last name.","Each column should show the correct employee field.","UI-F-011 failed with expected last name Zulu but received Alpha instead. Embedded evidence in the report shows the same swap.","Confirmed defect."
PAY-BUG-005,"Dashboard table is not responsive on smaller viewports",UI,Dashboard table,High,High,"UX-NF-001; UX-NF-002","Dashboard has at least one employee row.","Resize the page to smaller viewport sizes and review the table layout.","Part of the table becomes hard to use. Content can clip, shift, or look misaligned, especially with longer visible values.","The table should stay readable and usable across practical viewport sizes.","The responsive and long-value review cases are marked FAIL and match the manual observation.","Kept as one bug because the small-screen and long-value issues affect the same table layout."
PAY-BUG-006,"Edit and Delete actions are not reachable with keyboard only",UI,Employee table actions,High,High,"ACC-NF-002; ACC-NF-003","At least one employee row exists.","Use keyboard navigation only and try to reach the Edit and Delete actions for a row.","Keyboard focus does not reach those actions.","Both actions should be reachable and usable with keyboard only.","Both accessibility checks failed in the report.","Confirmed accessibility bug."
PAY-BUG-007,"Add Employee modal inputs do not provide basic input hints",UI,Add Employee modal,Medium,Medium,"ACC-NF-004","User is logged in and can open Add Employee.","Open Add Employee and inspect the input fields.","The inputs do not have non-empty placeholders or similar entry hints.","The fields should provide basic guidance consistent with the product's form pattern.","ACC-NF-004 recorded null placeholders for first name, last name, and dependants.","This came from the automation results rather than the original manual list."
PAY-BUG-008,"Edit and Delete actions rely on icons that are not very clear",UI,Employee table actions,Medium,Medium,,"At least one employee row exists.","Review the Edit and Delete row actions without hovering or using prior product knowledge.","The controls rely on icons only, which makes them less clear than they should be.","The actions should have clearer labels, tooltips, or stronger affordances.","This came from the manual review notes.","This one should be rechecked with the current build before filing externally."
PAY-BUG-009,"Default ordering in the dashboard is not clear to the user",UI,Dashboard table,Low,Low,,"Multiple employees exist in the grid.","Create or review several records and inspect the order shown in the table.","It is not obvious what the table is sorted by, and the order does not feel meaningful from a user point of view.","The table should use a clear default sort and that sort should make sense for the user.","This came from the manual review notes.","Better treated as a product or UX issue unless there is a documented sorting rule."
PAY-BUG-010,"Technical ID shown in the main grid adds noise and hurts readability",UI,Dashboard table,Low,Low,"UX-NF-002","At least one employee row exists.","Review the main grid with normal and longer values.","A long technical ID is shown in the main view even though it does not look useful for the user and adds clutter.","Main table columns should focus on user-relevant data. Technical IDs should be hidden, shortened, or moved elsewhere.","The long-value layout review failed, and the manual feedback also called out the ID column as distracting.","Low severity, but worth keeping as a UX cleanup item."
PAY-BUG-011,"Save button styling looks destructive instead of confirmatory",UI,Add Employee modal,Low,Low,,"Open Add Employee modal.","Open the modal and review the visual treatment of the Save button.","The Save action is styled in red, which reads more like delete or cancel than save.","The Save action should use the standard primary or confirm styling.","This came from the manual review notes.","Low severity UX issue."
PAY-BUG-012,"Expired session leaves the user stuck on the dashboard instead of returning to login",UI/Auth,Dashboard session handling,High,High,,"User has an authenticated session that later expires.","Let the token expire, then refresh the page or go Home.","The page stays on the dashboard in a broken state and the user is not sent back to login.","Expired or invalid sessions should send the user back to login automatically.","This came from the manual review notes.","Merged from the two session-expiry findings because they describe the same broken flow."
PAY-BUG-013,"API accepts unexpected properties outside the contract",API,POST /api/Employees,High,High,"API-F-011","Valid API auth is available.","Send a create request with extra properties like middleName or other unknown fields.","The API returns 200 and creates the employee instead of rejecting the request.","The API should reject payloads that include properties not allowed by the contract.","API-F-011 shows status 200 for payloads that were expected to fail as client errors.","Confirmed contract issue."
PAY-BUG-014,"Deleted employee can still be retrieved by ID",API,"DELETE /api/Employees/{id}; GET /api/Employees/{id}",High,High,"API-F-005","An employee exists and can be deleted.","Create an employee, delete it, then do a GET by the same ID.","The follow-up GET still returns 200, even though the body is empty.","After delete, GET by that ID should return a not-found style response, not success.","API-F-005 captured a 200 response after delete.","Confirmed CRUD consistency issue."
PAY-BUG-015,"GET by invalid UUID returns 500 instead of a client error",API,GET /api/Employees/{id},High,High,"API-F-009","Valid API auth is available.","Call GET by ID using invalid UUID formats like not-a-uuid or 12345.","The endpoint returns 500 for bad client input.","The endpoint should return a client error such as 400 for invalid IDs.","API-F-009 captured 500 responses for invalid IDs.","Confirmed input-validation issue."
PAY-BUG-016,"Invalid UUID error response is returned as HTML and exposes internal details",API,GET /api/Employees/{id},Critical,High,"API-F-009","Valid API auth is available.","Call GET by ID using an invalid UUID and inspect the response body.","The API returns an HTML error page with internal application details instead of a safe API error response.","The API should return a sanitized JSON error without internal details.","API-F-009 includes an HTML error page starting with <!DOCTYPE html> in the response body.","Security concern."
PAY-BUG-017,"API accepts employee creation without required username",API,POST /api/Employees,High,High,"API-F-006","Valid API auth is available.","Submit a create request with username missing or empty.","The employee is created successfully even though username is supposed to be required.","The API should reject the request with a validation error.","In API-F-006, missing firstName and missing lastName fail correctly, but missing username still returns 200.","This confirms the manual concern that username handling is inconsistent."
PAY-BUG-018,"API accepts username values longer than 50 characters",API,POST /api/Employees,High,High,"API-F-007","Valid API auth is available.","Submit a create request with username length 51.","The API accepts the request instead of rejecting it.","The API should reject username values above the maximum allowed length.","API-F-007 failed specifically on the username length 51 case.","Confirmed username boundary defect."
